State,Life Expectancy
Hawaii,81.3
Minnesota,81.1
Connecticut,80.8
California,80.8
Massachusetts,80.5
New York,80.5
Vermont,80.5
New Hampshire,80.3
New Jersey,80.3
Utah,80.2
Colorado,80.0
Wisconsin,80.0
Washington,79.9
Rhode Island,79.9
Nebraska,79.8
Iowa,79.7
Arizona,79.6
North Dakota,79.5
Oregon,79.5
Idaho,79.5
South Dakota,79.5
Florida,79.4
Maine,79.2
Virginia,79.0
Illinois,79.0
–United States average,78.9
Maryland,78.8
Kansas,78.7
Pennsylvania,78.5
Montana,78.5
Texas,78.5
New Mexico,78.4
Delaware,78.4
Wyoming,78.3
Alaska,78.3
Michigan,78.2
Nevada,78.1
North Carolina,77.8
Ohio,77.8
Indiana,77.6
Missouri,77.5
Georgia,77.2
South Carolina,77.0
District of Columbia,76.5
Tennessee,76.3
Kentucky,76.0
Arkansas,76.0
Oklahoma,75.9
Louisiana,75.7
Alabama,75.4
West Virginia,75.4
Mississippi,75.0
